"ORDER_ID","SOURCE_ID","DESTINATION_ID","HUB_ID","UPC","UPT","QTY_ORDERED_CASES","QTY_ALLOCATED_CASES","QTY_PICKED_CASES","QTY_SHIPPED_CASES","INTO_LOCATION_DATE","CREATION_DATE","LAST_UPDATE_DATE"
"8092354189","5012068010865","5012068020116","5012068016522","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.749189000,09-JUN-26 09.00.49.636175000
"8092354190","5012068010865","5012068018953","5012068056528","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.41.516947000,09-JUN-26 08.59.44.496244000
"8092354191","5012068010865","5012068000989","5012068053800","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.459899000,09-JUN-26 09.00.48.279338000
"8092354191","5012068010865","5012068000989","5012068053800","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.459899000,09-JUN-26 09.00.48.279338000
"8092354191","5012068010865","5012068000989","5012068053800","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.459899000,09-JUN-26 09.00.48.279338000
"8092354192","5012068010865","5012068038586","5012068039422","29463046","10",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.975090000,09-JUN-26 09.00.48.658331000
"8092354193","5012068010865","5012068019929","5012068016522","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.921109000,09-JUN-26 09.00.49.625282000
"8092354193","5012068010865","5012068019929","5012068016522","29415052","6",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.921109000,09-JUN-26 09.00.49.625282000
"8092354194","5012068010865","5012068095480","5012068039422","00992619","18",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.651150000,09-JUN-26 09.00.48.775898000
"8092354194","5012068010865","5012068095480","5012068039422","29397822","7",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.651150000,09-JUN-26 09.00.48.775898000
"8092354194","5012068010865","5012068095480","5012068039422","29398508","12",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.651150000,09-JUN-26 09.00.48.775898000
"8092354195","5012068010865","5012068036964","5012068059666","00978736","14",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.569458000,09-JUN-26 09.00.49.317997000
"8092354195","5012068010865","5012068036964","5012068059666","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.569458000,09-JUN-26 09.00.49.317997000
"8092354196","5012068010865","5012068001047","5012068056528","00992619","18",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.219820000,09-JUN-26 09.00.48.805789000
"8092354196","5012068010865","5012068001047","5012068056528","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.219820000,09-JUN-26 09.00.48.805789000
"8092354196","5012068010865","5012068001047","5012068056528","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.219820000,09-JUN-26 09.00.48.805789000
"8092354197","5012068010865","5012068074560","5012068056528","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.629255000,09-JUN-26 09.00.49.063861000
"8092354197","5012068010865","5012068074560","5012068056528","29398508","12",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.629255000,09-JUN-26 09.00.49.063861000
"8092354198","5012068010865","5012068007704","5012068039422","29397822","7",2,0,2,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.977413000,09-JUN-26 09.00.48.502930000
"8092354198","5012068010865","5012068007704","5012068039422","29415052","6",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.977413000,09-JUN-26 09.00.48.502930000
"8092354198","5012068010865","5012068007704","5012068039422","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.977413000,09-JUN-26 09.00.48.502930000
"8092354199","5012068010865","5012068017062","5012068056528","00992619","18",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.762939000,09-JUN-26 09.00.48.949762000
"8092354199","5012068010865","5012068017062","5012068056528","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.762939000,09-JUN-26 09.00.48.949762000
"8092354199","5012068010865","5012068017062","5012068056528","29415052","6",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.762939000,09-JUN-26 09.00.48.949762000
"8092354199","5012068010865","5012068017062","5012068056528","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.762939000,09-JUN-26 09.00.48.949762000
"8092354200","5012068010865","5012068014580","5012068059666","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.667819000,09-JUN-26 09.00.49.214266000
"8092354200","5012068010865","5012068014580","5012068059666","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.667819000,09-JUN-26 09.00.49.214266000
"8092354200","5012068010865","5012068014580","5012068059666","29407910","8",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.667819000,09-JUN-26 09.00.49.214266000
"8092354200","5012068010865","5012068014580","5012068059666","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.667819000,09-JUN-26 09.00.49.214266000
"8092354201","5012068010865","5012068017055","5012068039422","00992619","18",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.472091000,09-JUN-26 09.00.48.590330000
"8092354201","5012068010865","5012068017055","5012068039422","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.472091000,09-JUN-26 09.00.48.590330000
"8092354201","5012068010865","5012068017055","5012068039422","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.472091000,09-JUN-26 09.00.48.590330000
"8092354202","5012068010865","5012068002914","5012068039422","00646994","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.986543000,09-JUN-26 09.00.48.458464000
"8092354202","5012068010865","5012068002914","5012068039422","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.986543000,09-JUN-26 09.00.48.458464000
"8092354202","5012068010865","5012068002914","5012068039422","29397822","7",2,0,2,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.986543000,09-JUN-26 09.00.48.458464000
"8092354203","5012068010865","5012068047502","5012068039422","00646994","10",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354203","5012068010865","5012068047502","5012068039422","00978736","14",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
